path,directory,filename,width,height,size
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00141.png,queratocisto,IM-0001-00141.png,135,135,135x135
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00225.png,queratocisto,IM-0001-00225.png,133,133,133x133
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00119.png,queratocisto,IM-0001-00119.png,154,154,154x154
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00162.png,queratocisto,IM-0001-00162.png,87,87,87x87
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00303.png,queratocisto,IM-0001-00303.png,57,57,57x57
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00185.png,queratocisto,IM-0001-00185.png,156,156,156x156
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00130.png,queratocisto,IM-0001-00130.png,88,88,88x88
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00147.png,queratocisto,IM-0001-00147.png,37,37,37x37
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-006.png,queratocisto,IM-0001-006.png,128,128,128x128
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-0067.png,queratocisto,IM-0001-0067.png,78,78,78x78
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00179.png,queratocisto,IM-0001-00179.png,62,62,62x62
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-0020.png,queratocisto,IM-0001-0020.png,120,120,120x120
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00102.png,queratocisto,IM-0001-00102.png,74,74,74x74
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00257.png,queratocisto,IM-0001-00257.png,66,66,66x66
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-0038.png,queratocisto,IM-0001-0038.png,97,97,97x97
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-004.png,queratocisto,IM-0001-004.png,71,71,71x71
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-0013.png,queratocisto,IM-0001-0013.png,123,123,123x123
/home/carol/shared/rna-cnn/dataset/originais/queratocisto/IM-0001-00150.png,queratocisto,IM-0001-00150.png,89,89,89x89
