path,directory,filename,width,height,size
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/16AA008.png,ameloblastoma,16AA008.png,72,58,72x58
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA097.png,ameloblastoma,13AA097.png,194,268,194x268
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA101.png,ameloblastoma,13AA101.png,194,268,194x268
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/14AA017.png,ameloblastoma,14AA017.png,352,270,352x270
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA093.png,ameloblastoma,13AA093.png,194,268,194x268
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA056.png,ameloblastoma,21AA056.png,434,346,434x346
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA065.png,ameloblastoma,21AA065.png,240,238,240x238
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA036.png,ameloblastoma,21AA036.png,355,390,355x390
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA059.png,ameloblastoma,21AA059.png,358,294,358x294
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA026.png,ameloblastoma,21AA026.png,302,376,302x376
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA044.png,ameloblastoma,13AA044.png,192,314,192x314
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA036.png,ameloblastoma,13AA036.png,108,178,108x178
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/14AA001.png,ameloblastoma,14AA001.png,104,100,104x100
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA084.png,ameloblastoma,13AA084.png,268,322,268x322
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA017.png,ameloblastoma,21AA017.png,256,324,256x324
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA071.png,ameloblastoma,13AA071.png,300,408,300x408
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA033.png,ameloblastoma,13AA033.png,88,114,88x114
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/16AA013.png,ameloblastoma,16AA013.png,108,94,108x94
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA016.png,ameloblastoma,13AA016.png,172,214,172x214
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/16AA012.png,ameloblastoma,16AA012.png,104,88,104x88
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA078.png,ameloblastoma,13AA078.png,278,334,278x334
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/20AA015.png,ameloblastoma,20AA015.png,146,180,146x180
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA055.png,ameloblastoma,21AA055.png,442,362,442x362
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA034.png,ameloblastoma,21AA034.png,355,390,355x390
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/14AA036.png,ameloblastoma,14AA036.png,174,212,174x212
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/22AA020.png,ameloblastoma,22AA020.png,170,198,170x198
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA029.png,ameloblastoma,21AA029.png,302,352,302x352
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA024.png,ameloblastoma,13AA024.png,136,160,136x160
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA025.png,ameloblastoma,21AA025.png,278,342,278x342
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/13AA072.png,ameloblastoma,13AA072.png,300,408,300x408
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA049.png,ameloblastoma,21AA049.png,456,396,456x396
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA037.png,ameloblastoma,21AA037.png,355,390,355x390
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA032.png,ameloblastoma,21AA032.png,348,416,348x416
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/21AA008.png,ameloblastoma,21AA008.png,224,250,224x250
/home/carol/shared/rna-cnn/dataset-antigo/originais/ameloblastoma/14AA010.png,ameloblastoma,14AA010.png,314,200,314x200
