epoch;accuracy;loss;val_accuracy;val_loss
0;0.6670140624046326;0.901088297367096;0.5833333134651184;0.6807822585105896
1;0.7998957633972168;0.4883609414100647;0.5833333134651184;0.8792586922645569
2;0.86086505651474;0.3675842881202698;0.5833333134651184;1.022971510887146
3;0.8973423838615417;0.314191609621048;0.625;0.6429011225700378
4;0.939551830291748;0.16419880092144012;0.5583333373069763;0.8310721516609192
5;0.9577904939651489;0.1310834437608719;0.699999988079071;0.7993437647819519
6;0.9671704173088074;0.10908656567335129;0.7250000238418579;0.6866500973701477
7;0.9702970385551453;0.08106616139411926;0.7458333373069763;1.2791317701339722
8;0.9817613363265991;0.054621972143650055;0.793749988079071;1.1340371370315552
9;0.9739447832107544;0.08004937320947647;0.824999988079071;0.8453587889671326
10;0.9676914811134338;0.0793977901339531;0.918749988079071;0.3339630365371704
11;0.9755080938339233;0.0667421966791153;0.9333333373069763;0.2549932301044464
12;0.9801980257034302;0.049361471086740494;0.9458333253860474;0.22361944615840912
13;0.9749869704246521;0.06572281569242477;0.9458333253860474;0.1717415601015091
14;0.986451268196106;0.03332998976111412;0.9583333134651184;0.1386411190032959
15;0.991662323474884;0.028327958658337593;0.9416666626930237;0.19493956863880157
16;0.9885357022285461;0.040598057210445404;0.9750000238418579;0.09948859363794327
17;0.991662323474884;0.02764683961868286;0.9583333134651184;0.10375245660543442
18;0.9859301447868347;0.04719289392232895;0.9750000238418579;0.07797162234783173
19;0.9906201362609863;0.0318259671330452;0.9583333134651184;0.12309638410806656
20;0.9843668341636658;0.048732124269008636;0.9708333611488342;0.09426620602607727
21;0.9890568256378174;0.024885186925530434;0.9708333611488342;0.1136365607380867
22;0.9812402129173279;0.050436072051525116;0.8999999761581421;0.3800354301929474
23;0.9812402129173279;0.04966167360544205;0.981249988079071;0.060384877026081085
24;0.9890568256378174;0.02815755270421505;0.9916666746139526;0.04040592536330223
