epoch;accuracy;loss;val_accuracy;val_loss
0;0.6816720366477966;1.0619940757751465;0.43714284896850586;0.87883460521698
1;0.8385137319564819;0.574174165725708;0.4357142746448517;1.748642921447754
2;0.886745274066925;0.3987942039966583;0.4457142949104309;2.964446544647217
3;0.9056805968284607;0.2908954620361328;0.5299999713897705;3.3992836475372314
4;0.9264022707939148;0.220890611410141;0.618571400642395;4.160891056060791
5;0.9442657828330994;0.15218070149421692;0.6942856907844543;2.5065932273864746
6;0.9564130306243896;0.12055300176143646;0.7914285659790039;1.2397922277450562
7;0.966416597366333;0.09608684480190277;0.9428571462631226;0.21435865759849548
8;0.9649875164031982;0.1274825930595398;0.9442856907844543;0.22381682693958282
9;0.9746338129043579;0.08084841072559357;0.9514285922050476;0.14222900569438934
10;0.9796355962753296;0.04631426930427551;0.9300000071525574;0.39931440353393555
11;0.980350136756897;0.06487233936786652;0.8971428275108337;0.3405451476573944
12;0.986066460609436;0.04132426157593727;0.9314285516738892;0.35736241936683655
13;0.9871382713317871;0.038043927401304245;0.9328571557998657;0.18632352352142334
14;0.9878528118133545;0.03527882322669029;0.9514285922050476;0.18335464596748352
15;0.9903537034988403;0.0221310593187809;0.9457142949104309;0.3422657251358032
16;0.9903537034988403;0.026219401508569717;0.941428542137146;0.18458811938762665
17;0.9960700273513794;0.01179145835340023;0.9585714340209961;0.22829309105873108
18;0.9928545951843262;0.025179525837302208;0.977142870426178;0.15429703891277313
19;0.9946409463882446;0.014450997114181519;0.9800000190734863;0.06517130881547928
20;0.9910682439804077;0.028463851660490036;0.9457142949104309;0.1424759030342102
21;0.9949982166290283;0.023275552317500114;0.9828571677207947;0.05539536476135254
22;0.9928545951843262;0.02452709898352623;0.977142870426178;0.10360458493232727
23;0.9957127571105957;0.011471864767372608;0.9885714054107666;0.03803135082125664
24;0.9971418380737305;0.009109009057283401;0.9885714054107666;0.07807907462120056
